time,code,algo,test_year,seed,ret,bh_ret,excess_bh,sortino,mdd,trades,hold_ratio,hold_bull,hold_bear,avg_hold_days,n_spells,capture_up,capture_dn,day_up,day_dn,entry_lag,bull_days
09-18 04:17,005930,rand_hold10,2019,9,0.1619,0.44,-0.2781,1.271,-0.1176,33,0.813,0.813,0.813,11.8,17,0.797,0.783,0.823,0.81,0.8,0.565
09-18 04:17,005930,rand_hold10,2019,10,0.3367,0.44,-0.1033,2.361,-0.1241,34,0.813,0.813,0.813,11.8,17,0.74,0.806,0.808,0.829,0.9,0.565
09-18 04:17,005930,rand_hold10,2019,11,0.2666,0.44,-0.1734,1.923,-0.1375,35,0.825,0.842,0.804,11.3,18,0.831,0.827,0.815,0.829,0.2,0.565
09-18 04:17,005930,rand_hold10,2019,12,0.4717,0.44,0.0317,3.226,-0.1235,33,0.85,0.892,0.794,13.1,16,0.882,0.826,0.869,0.848,0.0,0.565
09-18 04:17,005930,rand_hold10,2019,13,0.4733,0.44,0.0333,3.255,-0.1105,31,0.74,0.741,0.738,11.4,16,0.735,0.649,0.762,0.714,0.0,0.565
09-18 04:17,005930,rand_hold10,2019,14,0.3254,0.44,-0.1146,2.41,-0.1009,32,0.833,0.842,0.822,12.8,16,0.829,0.842,0.808,0.867,0.1,0.565
09-18 04:17,005930,rand_hold10,2019,15,0.4004,0.44,-0.0396,2.674,-0.1551,31,0.752,0.748,0.757,11.6,16,0.758,0.686,0.785,0.695,0.5,0.565
09-18 04:17,005930,rand_hold10,2019,16,0.1692,0.44,-0.2708,1.421,-0.1266,31,0.793,0.827,0.748,12.2,16,0.766,0.79,0.762,0.829,0.9,0.565
09-18 04:17,005930,rand_hold10,2019,17,0.4029,0.44,-0.0371,3.021,-0.1207,35,0.821,0.82,0.822,11.2,18,0.749,0.845,0.8,0.838,0.1,0.565
09-18 04:17,005930,rand_hold10,2019,18,0.4018,0.44,-0.0382,2.749,-0.0962,31,0.732,0.741,0.72,11.2,16,0.725,0.689,0.746,0.695,0.2,0.565
09-18 04:17,005930,rand_hold10,2019,19,0.2471,0.44,-0.1929,1.909,-0.1255,33,0.744,0.741,0.748,11.4,16,0.77,0.703,0.769,0.705,0.2,0.565
09-18 04:17,005930,rand_hold10,2019,20,0.224,0.44,-0.216,1.683,-0.1595,32,0.772,0.799,0.738,11.9,16,0.78,0.763,0.769,0.762,0.2,0.565
09-18 04:17,005930,rand_hold10,2020,1,0.4015,0.467,-0.0655,2.032,-0.2941,34,0.839,0.816,0.905,12.2,17,0.839,0.823,0.828,0.846,0.2,0.746
