time,code,test_year,seed,episodes,window,features,hidden,lr,gamma,target_every,eps_decay,ret,excess_bh,sortino,mdd,trades,data_hash,train_len,churn,penalty
09-15 15:22,5930,2018,1,10,10,slim5,64,0.001,0.99,500,0.999,-0.3313,-0.0911,-2.442,-0.3313,72,,3.0,none,0.0
09-15 15:22,5930,2018,2,10,10,slim5,64,0.001,0.99,500,0.999,-0.1873,0.053,-1.175,-0.1967,55,,3.0,none,0.0
09-15 15:23,5930,2018,3,10,10,slim5,64,0.001,0.99,500,0.999,-0.408,-0.1677,-3.034,-0.4154,63,,3.0,none,0.0
09-15 15:23,5930,2018,4,10,10,slim5,64,0.001,0.99,500,0.999,-0.1464,0.0939,-0.912,-0.2684,74,,3.0,none,0.0
09-15 15:23,5930,2018,5,10,10,slim5,64,0.001,0.99,500,0.999,-0.3226,-0.0823,-2.279,-0.3367,75,,3.0,none,0.0
09-15 15:23,5930,2018,6,10,10,slim5,64,0.001,0.99,500,0.999,-0.2887,-0.0484,-1.973,-0.3335,70,,3.0,none,0.0
09-15 15:24,5930,2018,7,10,10,slim5,64,0.001,0.99,500,0.999,-0.1994,0.0409,-1.224,-0.2941,74,,3.0,none,0.0
09-15 15:24,5930,2018,8,10,10,slim5,64,0.001,0.99,500,0.999,-0.319,-0.0787,-2.305,-0.3331,45,,3.0,none,0.0
09-15 15:24,5930,2018,9,10,10,slim5,64,0.001,0.99,500,0.999,-0.3565,-0.1163,-2.516,-0.3594,62,,3.0,none,0.0
09-15 15:24,5930,2018,10,10,10,slim5,64,0.001,0.99,500,0.999,-0.2867,-0.0465,-1.854,-0.2949,46,,3.0,none,0.0
09-15 15:25,5930,2019,1,10,10,slim5,64,0.001,0.99,500,0.999,0.0137,-0.4263,0.257,-0.2091,68,,3.0,none,0.0
09-15 15:25,5930,2019,2,10,10,slim5,64,0.001,0.99,500,0.999,0.1654,-0.2746,1.326,-0.1662,71,,3.0,none,0.0
09-15 15:25,5930,2019,3,10,10,slim5,64,0.001,0.99,500,0.999,0.1243,-0.3157,1.012,-0.1889,85,,3.0,none,0.0
09-15 15:25,5930,2019,4,10,10,slim5,64,0.001,0.99,500,0.999,0.0703,-0.3697,0.647,-0.2062,55,,3.0,none,0.0
09-15 15:26,5930,2019,5,10,10,slim5,64,0.001,0.99,500,0.999,0.1197,-0.3203,1.079,-0.1583,97,,3.0,none,0.0
09-15 15:26,5930,2019,6,10,10,slim5,64,0.001,0.99,500,0.999,0.1194,-0.3206,1.031,-0.1651,93,,3.0,none,0.0
09-15 15:26,5930,2019,7,10,10,slim5,64,0.001,0.99,500,0.999,0.118,-0.322,0.949,-0.1426,79,,3.0,none,0.0
09-15 15:26,5930,2019,8,10,10,slim5,64,0.001,0.99,500,0.999,0.0088,-0.4312,0.2,-0.2316,100,,3.0,none,0.0
09-15 15:27,5930,2019,9,10,10,slim5,64,0.001,0.99,500,0.999,0.1463,-0.2937,1.151,-0.2072,75,,3.0,none,0.0
09-15 15:27,5930,2019,10,10,10,slim5,64,0.001,0.99,500,0.999,-0.0385,-0.4784,-0.209,-0.2178,66,,3.0,none,0.0
09-15 15:27,5930,2020,1,10,10,slim5,64,0.001,0.99,500,0.999,0.0873,-0.3797,0.665,-0.2492,81,,3.0,none,0.0
09-15 15:27,5930,2020,2,10,10,slim5,64,0.001,0.99,500,0.999,0.4262,-0.0409,2.098,-0.2809,65,,3.0,none,0.0
09-15 15:28,5930,2020,3,10,10,slim5,64,0.001,0.99,500,0.999,0.0346,-0.4325,0.402,-0.1632,78,,3.0,none,0.0
09-15 15:28,5930,2020,4,10,10,slim5,64,0.001,0.99,500,0.999,0.0584,-0.4087,0.444,-0.304,68,,3.0,none,0.0
09-15 15:28,5930,2020,5,10,10,slim5,64,0.001,0.99,500,0.999,0.2167,-0.2503,1.152,-0.3141,47,,3.0,none,0.0
09-15 15:29,5930,2020,6,10,10,slim5,64,0.001,0.99,500,0.999,0.0648,-0.4022,0.498,-0.0929,38,,3.0,none,0.0
09-15 15:29,5930,2020,7,10,10,slim5,64,0.001,0.99,500,0.999,0.2077,-0.2593,1.26,-0.2576,57,,3.0,none,0.0
09-15 15:29,5930,2020,8,10,10,slim5,64,0.001,0.99,500,0.999,0.1666,-0.3005,1.017,-0.3494,73,,3.0,none,0.0
09-15 15:29,5930,2020,9,10,10,slim5,64,0.001,0.99,500,0.999,0.2743,-0.1928,2.153,-0.0731,54,,3.0,none,0.0
09-15 15:30,5930,2020,10,10,10,slim5,64,0.001,0.99,500,0.999,0.1064,-0.3607,0.737,-0.3452,44,,3.0,none,0.0
09-15 15:30,5930,2018,1,10,10,base8,64,0.001,0.99,500,0.999,-0.0705,0.1698,-0.312,-0.1276,57,,3.0,none,0.0
09-15 15:30,5930,2018,2,10,10,base8,64,0.001,0.99,500,0.999,-0.3734,-0.1331,-2.654,-0.4016,62,,3.0,none,0.0
09-15 15:30,5930,2018,3,10,10,base8,64,0.001,0.99,500,0.999,-0.3066,-0.0663,-2.091,-0.3225,59,,3.0,none,0.0
09-15 15:30,5930,2018,4,10,10,base8,64,0.001,0.99,500,0.999,-0.1957,0.0446,-1.322,-0.2338,73,,3.0,none,0.0
09-15 15:31,5930,2018,5,10,10,base8,64,0.001,0.99,500,0.999,-0.1192,0.121,-0.684,-0.1729,68,,3.0,none,0.0
09-15 15:31,5930,2018,6,10,10,base8,64,0.001,0.99,500,0.999,-0.1531,0.0872,-0.966,-0.213,72,,3.0,none,0.0
09-15 15:31,5930,2018,7,10,10,base8,64,0.001,0.99,500,0.999,-0.2549,-0.0146,-1.669,-0.2714,66,,3.0,none,0.0
09-15 15:31,5930,2018,8,10,10,base8,64,0.001,0.99,500,0.999,-0.0351,0.2052,-0.14,-0.1366,54,,3.0,none,0.0
09-15 15:32,5930,2018,9,10,10,base8,64,0.001,0.99,500,0.999,-0.3523,-0.112,-2.505,-0.3598,67,,3.0,none,0.0
09-15 15:32,5930,2018,10,10,10,base8,64,0.001,0.99,500,0.999,-0.0105,0.2297,0.088,-0.1822,65,,3.0,none,0.0
09-15 15:32,5930,2019,1,10,10,base8,64,0.001,0.99,500,0.999,0.3176,-0.1223,2.243,-0.1223,59,,3.0,none,0.0
