time,code,test_year,seed,episodes,window,features,hidden,lr,gamma,target_every,eps_decay,ret,excess_bh,sortino,mdd,trades,data_hash,train_len,churn,penalty
09-15 22:51,5930,2019,2,10,10,slim5_us,64,0.001,0.99,500,0.999,0.3741,-0.0658,2.589,-0.0981,45,b7c31c3182,3.0,none,0.0
09-15 22:52,5930,2019,3,10,10,slim5_us,64,0.001,0.99,500,0.999,0.1988,-0.2412,1.538,-0.0986,58,b7c31c3182,3.0,none,0.0
09-15 22:52,5930,2019,4,10,10,slim5_us,64,0.001,0.99,500,0.999,0.2471,-0.1929,1.918,-0.1771,90,b7c31c3182,3.0,none,0.0
09-15 22:53,5930,2019,5,10,10,slim5_us,64,0.001,0.99,500,0.999,0.1431,-0.2969,1.137,-0.1683,64,b7c31c3182,3.0,none,0.0
09-15 22:53,5930,2019,6,10,10,slim5_us,64,0.001,0.99,500,0.999,0.0353,-0.4046,0.402,-0.192,74,b7c31c3182,3.0,none,0.0
09-15 22:54,5930,2019,7,10,10,slim5_us,64,0.001,0.99,500,0.999,-0.0793,-0.5192,-0.493,-0.2344,66,b7c31c3182,3.0,none,0.0
09-15 22:55,5930,2019,8,10,10,slim5_us,64,0.001,0.99,500,0.999,0.2205,-0.2195,1.691,-0.1754,91,b7c31c3182,3.0,none,0.0
09-15 22:55,5930,2019,9,10,10,slim5_us,64,0.001,0.99,500,0.999,-0.0434,-0.4833,-0.28,-0.2092,50,b7c31c3182,3.0,none,0.0
09-15 22:56,5930,2019,10,10,10,slim5_us,64,0.001,0.99,500,0.999,0.3379,-0.1021,2.488,-0.131,62,b7c31c3182,3.0,none,0.0
09-15 22:57,5930,2020,1,10,10,slim5_us,64,0.001,0.99,500,0.999,0.1239,-0.3431,0.816,-0.2486,62,b7c31c3182,3.0,none,0.0
09-15 22:57,5930,2020,2,10,10,slim5_us,64,0.001,0.99,500,0.999,0.176,-0.2911,1.046,-0.2246,71,b7c31c3182,3.0,none,0.0
09-15 23:29,5930,2020,3,10,10,slim5_us,64,0.001,0.99,500,0.999,0.073,-0.3941,0.505,-0.2362,59,b7c31c3182,3.0,none,0.0
09-15 23:30,5930,2020,4,10,10,slim5_us,64,0.001,0.99,500,0.999,0.2189,-0.2482,1.095,-0.2753,40,b7c31c3182,3.0,none,0.0
09-15 23:30,5930,2020,5,10,10,slim5_us,64,0.001,0.99,500,0.999,0.361,-0.1061,1.633,-0.2711,46,b7c31c3182,3.0,none,0.0
09-15 23:31,5930,2020,6,10,10,slim5_us,64,0.001,0.99,500,0.999,-0.051,-0.5181,-0.128,-0.2579,93,b7c31c3182,3.0,none,0.0
09-15 23:31,5930,2020,7,10,10,slim5_us,64,0.001,0.99,500,0.999,0.285,-0.1821,1.47,-0.2937,64,b7c31c3182,3.0,none,0.0
09-15 23:31,5930,2020,8,10,10,slim5_us,64,0.001,0.99,500,0.999,0.6458,0.1788,3.368,-0.166,41,b7c31c3182,3.0,none,0.0
09-15 23:31,5930,2020,9,10,10,slim5_us,64,0.001,0.99,500,0.999,0.0121,-0.455,0.252,-0.3236,78,b7c31c3182,3.0,none,0.0
09-15 23:31,5930,2020,10,10,10,slim5_us,64,0.001,0.99,500,0.999,-0.1367,-0.6037,-0.587,-0.3793,84,b7c31c3182,3.0,none,0.0
09-15 23:32,5930,2018,1,10,10,core8,64,0.001,0.99,500,0.999,-0.2485,-0.0082,-1.807,-0.2647,72,b7c31c3182,3.0,none,0.0
09-15 23:32,5930,2018,2,10,10,core8,64,0.001,0.99,500,0.999,-0.2442,-0.004,-1.798,-0.2835,68,b7c31c3182,3.0,none,0.0
09-15 23:32,5930,2018,3,10,10,core8,64,0.001,0.99,500,0.999,-0.226,0.0142,-1.518,-0.2646,78,b7c31c3182,3.0,none,0.0
09-15 23:32,5930,2018,4,10,10,core8,64,0.001,0.99,500,0.999,-0.2167,0.0236,-1.492,-0.232,60,b7c31c3182,3.0,none,0.0
09-15 23:32,5930,2018,5,10,10,core8,64,0.001,0.99,500,0.999,-0.2678,-0.0275,-2.118,-0.28,72,b7c31c3182,3.0,none,0.0
09-15 23:33,5930,2018,6,10,10,core8,64,0.001,0.99,500,0.999,-0.3989,-0.1587,-2.99,-0.4059,63,b7c31c3182,3.0,none,0.0
09-15 23:33,5930,2018,7,10,10,core8,64,0.001,0.99,500,0.999,-0.1714,0.0689,-1.028,-0.2053,53,b7c31c3182,3.0,none,0.0
09-15 23:33,5930,2018,8,10,10,core8,64,0.001,0.99,500,0.999,-0.2229,0.0174,-1.503,-0.2229,72,b7c31c3182,3.0,none,0.0
09-15 23:33,5930,2018,9,10,10,core8,64,0.001,0.99,500,0.999,-0.1465,0.0938,-1.102,-0.1786,81,b7c31c3182,3.0,none,0.0
09-15 23:33,5930,2018,10,10,10,core8,64,0.001,0.99,500,0.999,-0.3266,-0.0863,-2.364,-0.3266,51,b7c31c3182,3.0,none,0.0
09-15 23:34,5930,2019,1,10,10,core8,64,0.001,0.99,500,0.999,0.1903,-0.2497,1.46,-0.1447,51,b7c31c3182,3.0,none,0.0
09-15 23:34,5930,2019,2,10,10,core8,64,0.001,0.99,500,0.999,0.1513,-0.2886,1.204,-0.128,63,b7c31c3182,3.0,none,0.0
09-15 23:34,5930,2019,3,10,10,core8,64,0.001,0.99,500,0.999,0.0443,-0.3956,0.454,-0.1814,43,b7c31c3182,3.0,none,0.0
09-15 23:34,5930,2019,4,10,10,core8,64,0.001,0.99,500,0.999,0.1496,-0.2903,1.453,-0.0671,43,b7c31c3182,3.0,none,0.0
09-15 23:34,5930,2019,5,10,10,core8,64,0.001,0.99,500,0.999,0.1631,-0.2768,1.286,-0.1566,61,b7c31c3182,3.0,none,0.0
09-15 23:35,5930,2019,6,10,10,core8,64,0.001,0.99,500,0.999,0.008,-0.4319,0.174,-0.1576,45,b7c31c3182,3.0,none,0.0
09-15 23:35,5930,2019,7,10,10,core8,64,0.001,0.99,500,0.999,0.1702,-0.2698,1.531,-0.1086,81,b7c31c3182,3.0,none,0.0
09-15 23:35,5930,2019,8,10,10,core8,64,0.001,0.99,500,0.999,0.0883,-0.3517,0.81,-0.1083,49,b7c31c3182,3.0,none,0.0
09-15 23:35,5930,2019,9,10,10,core8,64,0.001,0.99,500,0.999,0.394,-0.046,2.851,-0.1018,51,b7c31c3182,3.0,none,0.0
09-15 23:35,5930,2019,10,10,10,core8,64,0.001,0.99,500,0.999,0.1998,-0.2402,1.469,-0.1151,45,b7c31c3182,3.0,none,0.0
09-15 23:36,5930,2020,1,10,10,core8,64,0.001,0.99,500,0.999,0.3405,-0.1266,1.829,-0.1989,59,b7c31c3182,3.0,none,0.0
09-15 23:36,5930,2020,2,10,10,core8,64,0.001,0.99,500,0.999,0.1976,-0.2694,1.141,-0.2211,48,b7c31c3182,3.0,none,0.0
09-15 23:36,5930,2020,3,10,10,core8,64,0.001,0.99,500,0.999,0.7746,0.3075,4.149,-0.0873,49,b7c31c3182,3.0,none,0.0
09-15 23:36,5930,2020,4,10,10,core8,64,0.001,0.99,500,0.999,-0.0237,-0.4908,0.024,-0.2906,45,b7c31c3182,3.0,none,0.0
09-15 23:37,5930,2020,5,10,10,core8,64,0.001,0.99,500,0.999,0.2856,-0.1814,1.714,-0.2889,64,b7c31c3182,3.0,none,0.0
09-15 23:37,5930,2020,6,10,10,core8,64,0.001,0.99,500,0.999,0.1811,-0.2859,1.373,-0.1282,65,b7c31c3182,3.0,none,0.0
09-15 23:37,5930,2020,7,10,10,core8,64,0.001,0.99,500,0.999,0.0842,-0.3828,0.666,-0.1249,92,b7c31c3182,3.0,none,0.0
09-15 23:37,5930,2020,8,10,10,core8,64,0.001,0.99,500,0.999,0.2533,-0.2137,1.329,-0.3146,57,b7c31c3182,3.0,none,0.0
09-15 23:37,5930,2020,9,10,10,core8,64,0.001,0.99,500,0.999,0.3935,-0.0735,2.241,-0.1642,42,b7c31c3182,3.0,none,0.0
09-15 23:38,5930,2020,10,10,10,core8,64,0.001,0.99,500,0.999,0.4566,-0.0105,2.069,-0.2463,55,b7c31c3182,3.0,none,0.0
09-16 04:22,5930,2018,11,10,10,slim5,64,0.001,0.99,500,0.999,-0.3367,-0.0964,-2.545,-0.3382,56,b7c31c3182,3.0,none,0.0
09-16 04:22,5930,2018,12,10,10,slim5,64,0.001,0.99,500,0.999,-0.1797,0.0605,-1.071,-0.1892,50,b7c31c3182,3.0,none,0.0
09-16 04:23,5930,2018,13,10,10,slim5,64,0.001,0.99,500,0.999,-0.3509,-0.1107,-2.55,-0.3509,58,b7c31c3182,3.0,none,0.0
09-16 04:23,5930,2018,14,10,10,slim5,64,0.001,0.99,500,0.999,-0.3437,-0.1035,-2.548,-0.3719,66,b7c31c3182,3.0,none,0.0
09-16 04:23,5930,2018,15,10,10,slim5,64,0.001,0.99,500,0.999,-0.2446,-0.0043,-1.803,-0.2778,67,b7c31c3182,3.0,none,0.0
09-16 04:24,5930,2018,16,10,10,slim5,64,0.001,0.99,500,0.999,-0.2975,-0.0572,-2.197,-0.2989,74,b7c31c3182,3.0,none,0.0
09-16 04:24,5930,2018,17,10,10,slim5,64,0.001,0.99,500,0.999,-0.2937,-0.0535,-2.001,-0.3107,59,b7c31c3182,3.0,none,0.0
09-16 04:24,5930,2018,18,10,10,slim5,64,0.001,0.99,500,0.999,-0.3129,-0.0726,-2.149,-0.3265,43,b7c31c3182,3.0,none,0.0
09-16 04:24,5930,2018,19,10,10,slim5,64,0.001,0.99,500,0.999,-0.3625,-0.1222,-2.608,-0.3921,59,b7c31c3182,3.0,none,0.0
09-16 04:24,5930,2018,20,10,10,slim5,64,0.001,0.99,500,0.999,-0.3077,-0.0674,-2.081,-0.346,67,b7c31c3182,3.0,none,0.0
09-16 04:24,5930,2019,11,10,10,slim5,64,0.001,0.99,500,0.999,0.2555,-0.1844,1.83,-0.0888,75,b7c31c3182,3.0,none,0.0
09-16 04:25,5930,2019,12,10,10,slim5,64,0.001,0.99,500,0.999,0.141,-0.2989,1.188,-0.1666,43,b7c31c3182,3.0,none,0.0
09-16 04:25,5930,2019,13,10,10,slim5,64,0.001,0.99,500,0.999,0.1565,-0.2835,1.357,-0.1826,81,b7c31c3182,3.0,none,0.0
09-16 04:25,5930,2019,14,10,10,slim5,64,0.001,0.99,500,0.999,0.0142,-0.4258,0.199,-0.1805,56,b7c31c3182,3.0,none,0.0
09-16 04:25,5930,2019,15,10,10,slim5,64,0.001,0.99,500,0.999,0.3574,-0.0825,2.537,-0.1274,93,b7c31c3182,3.0,none,0.0
09-16 04:25,5930,2019,16,10,10,slim5,64,0.001,0.99,500,0.999,0.0161,-0.4239,0.226,-0.1564,82,b7c31c3182,3.0,none,0.0
09-16 04:25,5930,2019,17,10,10,slim5,64,0.001,0.99,500,0.999,0.1067,-0.3332,0.872,-0.1738,60,b7c31c3182,3.0,none,0.0
09-16 04:26,5930,2019,18,10,10,slim5,64,0.001,0.99,500,0.999,0.1032,-0.3367,0.844,-0.1665,75,b7c31c3182,3.0,none,0.0
09-16 04:26,5930,2019,19,10,10,slim5,64,0.001,0.99,500,0.999,0.0569,-0.3831,0.484,-0.1314,62,b7c31c3182,3.0,none,0.0
09-16 04:26,5930,2019,20,10,10,slim5,64,0.001,0.99,500,0.999,0.0526,-0.3873,0.451,-0.1852,55,b7c31c3182,3.0,none,0.0
09-16 04:26,5930,2020,11,10,10,slim5,64,0.001,0.99,500,0.999,0.0892,-0.3778,0.644,-0.3139,53,b7c31c3182,3.0,none,0.0
09-16 04:27,5930,2020,12,10,10,slim5,64,0.001,0.99,500,0.999,0.1873,-0.2798,1.251,-0.1288,54,b7c31c3182,3.0,none,0.0
09-16 04:28,5930,2020,13,10,10,slim5,64,0.001,0.99,500,0.999,0.1989,-0.2682,1.138,-0.3089,63,b7c31c3182,3.0,none,0.0
09-16 04:28,5930,2020,14,10,10,slim5,64,0.001,0.99,500,0.999,0.2684,-0.1987,1.397,-0.2136,63,b7c31c3182,3.0,none,0.0
09-16 04:29,5930,2020,15,10,10,slim5,64,0.001,0.99,500,0.999,0.5197,0.0526,2.618,-0.1781,52,b7c31c3182,3.0,none,0.0
09-16 04:29,5930,2020,16,10,10,slim5,64,0.001,0.99,500,0.999,0.295,-0.1721,1.797,-0.1733,61,b7c31c3182,3.0,none,0.0
09-16 04:30,5930,2020,17,10,10,slim5,64,0.001,0.99,500,0.999,0.1511,-0.3159,0.834,-0.2752,59,b7c31c3182,3.0,none,0.0
09-16 04:30,5930,2020,18,10,10,slim5,64,0.001,0.99,500,0.999,-0.2587,-0.7257,-1.48,-0.3847,78,b7c31c3182,3.0,none,0.0
09-16 04:30,5930,2020,19,10,10,slim5,64,0.001,0.99,500,0.999,0.4455,-0.0215,2.41,-0.2628,51,b7c31c3182,3.0,none,0.0
09-16 04:30,5930,2020,20,10,10,slim5,64,0.001,0.99,500,0.999,0.0015,-0.4655,0.156,-0.2042,67,b7c31c3182,3.0,none,0.0
09-16 04:30,5930,2018,11,10,10,core8,64,0.001,0.99,500,0.999,0.0334,0.2737,0.306,-0.1264,58,b7c31c3182,3.0,none,0.0
09-16 04:30,5930,2018,12,10,10,core8,64,0.001,0.99,500,0.999,-0.1491,0.0912,-1.084,-0.1588,80,b7c31c3182,3.0,none,0.0
09-16 04:31,5930,2018,13,10,10,core8,64,0.001,0.99,500,0.999,-0.2309,0.0093,-1.603,-0.2398,55,b7c31c3182,3.0,none,0.0
09-16 04:31,5930,2018,14,10,10,core8,64,0.001,0.99,500,0.999,-0.1572,0.0831,-0.921,-0.2051,49,b7c31c3182,3.0,none,0.0
09-16 04:31,5930,2018,15,10,10,core8,64,0.001,0.99,500,0.999,-0.2284,0.0119,-1.508,-0.2523,79,b7c31c3182,3.0,none,0.0
09-16 04:31,5930,2018,16,10,10,core8,64,0.001,0.99,500,0.999,-0.3631,-0.1228,-2.573,-0.3704,33,b7c31c3182,3.0,none,0.0
09-16 04:31,5930,2018,17,10,10,core8,64,0.001,0.99,500,0.999,-0.262,-0.0218,-1.808,-0.2774,46,b7c31c3182,3.0,none,0.0
09-16 04:31,5930,2018,18,10,10,core8,64,0.001,0.99,500,0.999,-0.3164,-0.0761,-2.266,-0.3376,53,b7c31c3182,3.0,none,0.0
09-16 04:32,5930,2018,19,10,10,core8,64,0.001,0.99,500,0.999,-0.3159,-0.0757,-2.378,-0.3246,67,b7c31c3182,3.0,none,0.0
09-16 04:32,5930,2018,20,10,10,core8,64,0.001,0.99,500,0.999,-0.2607,-0.0204,-1.834,-0.2607,78,b7c31c3182,3.0,none,0.0
09-16 04:32,5930,2019,11,10,10,core8,64,0.001,0.99,500,0.999,-0.2113,-0.6513,-1.943,-0.2484,69,b7c31c3182,3.0,none,0.0
09-16 04:32,5930,2019,12,10,10,core8,64,0.001,0.99,500,0.999,0.3101,-0.1299,2.302,-0.1045,69,b7c31c3182,3.0,none,0.0
09-16 04:32,5930,2019,13,10,10,core8,64,0.001,0.99,500,0.999,0.1806,-0.2594,1.442,-0.1105,66,b7c31c3182,3.0,none,0.0
09-16 04:32,5930,2019,14,10,10,core8,64,0.001,0.99,500,0.999,0.0011,-0.4389,0.105,-0.1319,43,b7c31c3182,3.0,none,0.0
09-16 04:33,5930,2019,15,10,10,core8,64,0.001,0.99,500,0.999,0.1681,-0.2719,1.375,-0.1112,75,b7c31c3182,3.0,none,0.0
09-16 04:33,5930,2019,16,10,10,core8,64,0.001,0.99,500,0.999,0.2149,-0.225,1.682,-0.1244,38,b7c31c3182,3.0,none,0.0
09-16 04:33,5930,2019,17,10,10,core8,64,0.001,0.99,500,0.999,0.0416,-0.3984,0.438,-0.2034,54,b7c31c3182,3.0,none,0.0
09-16 04:33,5930,2019,18,10,10,core8,64,0.001,0.99,500,0.999,0.0817,-0.3583,0.702,-0.181,58,b7c31c3182,3.0,none,0.0
09-16 04:33,5930,2019,19,10,10,core8,64,0.001,0.99,500,0.999,0.1651,-0.2749,1.43,-0.1652,76,b7c31c3182,3.0,none,0.0
09-16 04:34,5930,2019,20,10,10,core8,64,0.001,0.99,500,0.999,0.1791,-0.2609,1.461,-0.1009,63,b7c31c3182,3.0,none,0.0
09-16 04:34,5930,2020,11,10,10,core8,64,0.001,0.99,500,0.999,0.0427,-0.4243,0.341,-0.1864,49,b7c31c3182,3.0,none,0.0
09-16 04:35,5930,2020,12,10,10,core8,64,0.001,0.99,500,0.999,0.2114,-0.2557,1.275,-0.1443,63,b7c31c3182,3.0,none,0.0
09-16 04:35,5930,2020,13,10,10,core8,64,0.001,0.99,500,0.999,0.1424,-0.3247,0.903,-0.2653,68,b7c31c3182,3.0,none,0.0
09-16 04:36,5930,2020,14,10,10,core8,64,0.001,0.99,500,0.999,0.1756,-0.2914,1.032,-0.3376,79,b7c31c3182,3.0,none,0.0
09-16 04:37,5930,2020,15,10,10,core8,64,0.001,0.99,500,0.999,-0.054,-0.521,-0.202,-0.2721,57,b7c31c3182,3.0,none,0.0
09-16 04:37,5930,2020,16,10,10,core8,64,0.001,0.99,500,0.999,-0.1456,-0.6127,-0.644,-0.2942,55,b7c31c3182,3.0,none,0.0
09-16 04:38,5930,2020,17,10,10,core8,64,0.001,0.99,500,0.999,0.0911,-0.376,0.669,-0.3325,76,b7c31c3182,3.0,none,0.0
09-16 04:39,5930,2020,18,10,10,core8,64,0.001,0.99,500,0.999,0.2709,-0.1961,1.517,-0.1921,75,b7c31c3182,3.0,none,0.0
09-16 04:39,5930,2020,19,10,10,core8,64,0.001,0.99,500,0.999,-0.1131,-0.5802,-0.722,-0.1544,62,b7c31c3182,3.0,none,0.0
09-16 04:40,5930,2020,20,10,10,core8,64,0.001,0.99,500,0.999,0.1693,-0.2978,0.884,-0.2153,74,b7c31c3182,3.0,none,0.0
09-16 04:55,5930,2018,1,10,10,slim5,64,0.001,0.99,500,0.999,-0.0315,0.2087,-0.07,-0.1238,67,b7c31c3182,3.0,none,0.0
09-16 04:55,5930,2018,2,10,10,slim5,64,0.001,0.99,500,0.999,-0.2993,-0.059,-2.134,-0.3419,41,b7c31c3182,3.0,none,0.0
09-16 04:56,5930,2018,3,10,10,slim5,64,0.001,0.99,500,0.999,-0.0981,0.1422,-0.587,-0.2586,78,b7c31c3182,3.0,none,0.0
09-16 04:56,5930,2018,4,10,10,slim5,64,0.001,0.99,500,0.999,-0.2219,0.0184,-1.53,-0.2495,77,b7c31c3182,3.0,none,0.0
09-16 04:57,5930,2018,5,10,10,slim5,64,0.001,0.99,500,0.999,-0.1701,0.0701,-1.122,-0.2088,92,b7c31c3182,3.0,none,0.0
09-16 04:58,5930,2018,6,10,10,slim5,64,0.001,0.99,500,0.999,-0.1937,0.0465,-1.306,-0.2825,60,b7c31c3182,3.0,none,0.0
09-16 04:58,5930,2018,7,10,10,slim5,64,0.001,0.99,500,0.999,-0.3103,-0.0701,-2.144,-0.3568,45,b7c31c3182,3.0,none,0.0
09-16 04:59,5930,2018,8,10,10,slim5,64,0.001,0.99,500,0.999,-0.2454,-0.0052,-1.582,-0.2541,54,b7c31c3182,3.0,none,0.0
09-16 04:59,5930,2018,9,10,10,slim5,64,0.001,0.99,500,0.999,-0.2554,-0.0151,-1.639,-0.2789,37,b7c31c3182,3.0,none,0.0
09-16 05:00,5930,2018,10,10,10,slim5,64,0.001,0.99,500,0.999,-0.4205,-0.1803,-3.169,-0.4272,45,b7c31c3182,3.0,none,0.0
09-16 05:00,5930,2019,1,10,10,slim5,64,0.001,0.99,500,0.999,0.1181,-0.3218,0.99,-0.1973,77,b7c31c3182,3.0,none,0.0
09-16 05:00,5930,2019,2,10,10,slim5,64,0.001,0.99,500,0.999,-0.1254,-0.5654,-0.891,-0.2381,60,b7c31c3182,3.0,none,0.0
09-16 05:00,5930,2019,3,10,10,slim5,64,0.001,0.99,500,0.999,0.1488,-0.2912,1.17,-0.2178,53,b7c31c3182,3.0,none,0.0
09-16 05:01,5930,2019,4,10,10,slim5,64,0.001,0.99,500,0.999,0.0408,-0.3991,0.461,-0.1431,76,b7c31c3182,3.0,none,0.0
09-16 05:01,5930,2019,5,10,10,slim5,64,0.001,0.99,500,0.999,0.3788,-0.0612,2.682,-0.1228,48,b7c31c3182,3.0,none,0.0
09-16 05:01,5930,2019,6,10,10,slim5,64,0.001,0.99,500,0.999,0.1555,-0.2845,1.245,-0.1578,70,b7c31c3182,3.0,none,0.0
09-16 05:01,5930,2019,7,10,10,slim5,64,0.001,0.99,500,0.999,0.1391,-0.3008,1.166,-0.1494,56,b7c31c3182,3.0,none,0.0
09-16 05:01,5930,2019,8,10,10,slim5,64,0.001,0.99,500,0.999,0.0308,-0.4091,0.36,-0.1551,72,b7c31c3182,3.0,none,0.0
09-16 05:01,5930,2019,9,10,10,slim5,64,0.001,0.99,500,0.999,0.0085,-0.4315,0.18,-0.1707,74,b7c31c3182,3.0,none,0.0
09-16 05:01,5930,2019,10,10,10,slim5,64,0.001,0.99,500,0.999,0.051,-0.3889,0.535,-0.1763,61,b7c31c3182,3.0,none,0.0
09-16 05:02,5930,2020,1,10,10,slim5,64,0.001,0.99,500,0.999,0.2115,-0.2555,1.257,-0.3231,55,b7c31c3182,3.0,none,0.0
09-16 05:02,5930,2020,2,10,10,slim5,64,0.001,0.99,500,0.999,0.1224,-0.3446,0.797,-0.2975,72,b7c31c3182,3.0,none,0.0
09-16 05:02,5930,2020,3,10,10,slim5,64,0.001,0.99,500,0.999,0.5599,0.0928,2.68,-0.2058,57,b7c31c3182,3.0,none,0.0
09-16 05:02,5930,2020,4,10,10,slim5,64,0.001,0.99,500,0.999,0.0501,-0.417,0.41,-0.2226,70,b7c31c3182,3.0,none,0.0
09-16 05:02,5930,2020,5,10,10,slim5,64,0.001,0.99,500,0.999,0.118,-0.3491,0.694,-0.2395,65,b7c31c3182,3.0,none,0.0
09-16 05:02,5930,2020,6,10,10,slim5,64,0.001,0.99,500,0.999,0.4874,0.0204,3.123,-0.1326,69,b7c31c3182,3.0,none,0.0
09-16 05:03,5930,2020,7,10,10,slim5,64,0.001,0.99,500,0.999,0.0849,-0.3822,0.642,-0.2777,82,b7c31c3182,3.0,none,0.0
09-16 05:03,5930,2020,8,10,10,slim5,64,0.001,0.99,500,0.999,-0.049,-0.516,-0.064,-0.3054,60,b7c31c3182,3.0,none,0.0
09-16 05:03,5930,2020,9,10,10,slim5,64,0.001,0.99,500,0.999,0.224,-0.2431,1.304,-0.238,34,b7c31c3182,3.0,none,0.0
09-16 05:03,5930,2020,10,10,10,slim5,64,0.001,0.99,500,0.999,0.2132,-0.2539,1.277,-0.2442,72,b7c31c3182,3.0,none,0.0
09-16 05:03,5930,2018,1,10,10,slim5,64,0.001,0.99,500,0.999,-0.1629,0.0773,-0.937,-0.2496,39,b7c31c3182,3.0,state,0.0
09-16 05:03,5930,2018,2,10,10,slim5,64,0.001,0.99,500,0.999,-0.2416,-0.0013,-1.562,-0.2773,1,b7c31c3182,3.0,state,0.0
09-16 05:04,5930,2018,3,10,10,slim5,64,0.001,0.99,500,0.999,-0.1184,0.1218,-0.638,-0.2233,78,b7c31c3182,3.0,state,0.0
09-16 05:04,5930,2018,4,10,10,slim5,64,0.001,0.99,500,0.999,-0.0916,0.1487,-0.576,-0.2051,75,b7c31c3182,3.0,state,0.0
09-16 05:04,5930,2018,5,10,10,slim5,64,0.001,0.99,500,0.999,-0.1589,0.0813,-1.273,-0.2334,82,b7c31c3182,3.0,state,0.0
09-16 05:05,5930,2018,6,10,10,slim5,64,0.001,0.99,500,0.999,-0.1074,0.1328,-0.588,-0.2041,65,b7c31c3182,3.0,state,0.0
09-16 05:06,5930,2018,7,10,10,slim5,64,0.001,0.99,500,0.999,-0.2646,-0.0243,-1.751,-0.2815,8,b7c31c3182,3.0,state,0.0
09-16 05:06,5930,2018,8,10,10,slim5,64,0.001,0.99,500,0.999,-0.3815,-0.1412,-2.753,-0.3885,61,b7c31c3182,3.0,state,0.0
09-16 05:07,5930,2018,9,10,10,slim5,64,0.001,0.99,500,0.999,-0.3903,-0.1501,-2.911,-0.4031,46,b7c31c3182,3.0,state,0.0
09-16 05:07,5930,2018,10,10,10,slim5,64,0.001,0.99,500,0.999,-0.2941,-0.0538,-2.026,-0.3168,14,b7c31c3182,3.0,state,0.0
09-16 05:08,5930,2019,1,10,10,slim5,64,0.001,0.99,500,0.999,0.2038,-0.2361,1.515,-0.1414,68,b7c31c3182,3.0,state,0.0
09-16 05:09,5930,2019,2,10,10,slim5,64,0.001,0.99,500,0.999,0.1932,-0.2467,1.457,-0.1849,68,b7c31c3182,3.0,state,0.0
09-16 05:09,5930,2019,3,10,10,slim5,64,0.001,0.99,500,0.999,0.0583,-0.3817,0.485,-0.14,56,b7c31c3182,3.0,state,0.0
09-16 05:10,5930,2019,4,10,10,slim5,64,0.001,0.99,500,0.999,0.1069,-0.3331,0.898,-0.1848,47,b7c31c3182,3.0,state,0.0
09-16 05:11,5930,2019,5,10,10,slim5,64,0.001,0.99,500,0.999,0.1422,-0.2977,1.066,-0.1279,45,b7c31c3182,3.0,state,0.0
09-16 05:11,5930,2019,6,10,10,slim5,64,0.001,0.99,500,0.999,0.267,-0.1729,1.965,-0.1504,61,b7c31c3182,3.0,state,0.0
09-16 05:12,5930,2019,7,10,10,slim5,64,0.001,0.99,500,0.999,0.2012,-0.2387,1.569,-0.1775,71,b7c31c3182,3.0,state,0.0
09-16 05:12,5930,2019,8,10,10,slim5,64,0.001,0.99,500,0.999,0.1997,-0.2402,1.541,-0.2213,58,b7c31c3182,3.0,state,0.0
09-16 05:13,5930,2019,9,10,10,slim5,64,0.001,0.99,500,0.999,0.3019,-0.138,2.152,-0.1439,15,b7c31c3182,3.0,state,0.0
09-16 05:14,5930,2019,10,10,10,slim5,64,0.001,0.99,500,0.999,0.1413,-0.2987,1.145,-0.1279,53,b7c31c3182,3.0,state,0.0
09-16 05:14,5930,2020,1,10,10,slim5,64,0.001,0.99,500,0.999,0.3502,-0.1169,1.721,-0.3003,26,b7c31c3182,3.0,state,0.0
09-16 05:14,5930,2020,2,10,10,slim5,64,0.001,0.99,500,0.999,0.2842,-0.1828,1.611,-0.3057,9,b7c31c3182,3.0,state,0.0
09-16 05:14,5930,2020,3,10,10,slim5,64,0.001,0.99,500,0.999,-0.0977,-0.5648,-0.355,-0.2777,67,b7c31c3182,3.0,state,0.0
09-16 05:15,5930,2020,4,10,10,slim5,64,0.001,0.99,500,0.999,0.1363,-0.3308,0.907,-0.2834,89,b7c31c3182,3.0,state,0.0
09-16 05:15,5930,2020,5,10,10,slim5,64,0.001,0.99,500,0.999,0.0977,-0.3693,0.713,-0.148,80,b7c31c3182,3.0,state,0.0
09-16 05:15,5930,2020,6,10,10,slim5,64,0.001,0.99,500,0.999,0.0607,-0.4063,0.472,-0.2974,69,b7c31c3182,3.0,state,0.0
09-16 05:15,5930,2020,7,10,10,slim5,64,0.001,0.99,500,0.999,0.1537,-0.3134,1.055,-0.2098,45,b7c31c3182,3.0,state,0.0
09-16 05:15,5930,2020,8,10,10,slim5,64,0.001,0.99,500,0.999,0.2879,-0.1791,1.7,-0.2504,77,b7c31c3182,3.0,state,0.0
09-16 05:15,5930,2020,9,10,10,slim5,64,0.001,0.99,500,0.999,0.4186,-0.0484,2.22,-0.2384,21,b7c31c3182,3.0,state,0.0
09-16 05:16,5930,2020,10,10,10,slim5,64,0.001,0.99,500,0.999,0.1516,-0.3154,0.963,-0.2621,71,b7c31c3182,3.0,state,0.0
09-16 05:16,5930,2018,1,10,10,slim5,64,0.001,0.99,500,0.999,-0.2739,-0.0336,-1.841,-0.2986,55,b7c31c3182,3.0,hold3,0.0
09-16 05:16,5930,2018,2,10,10,slim5,64,0.001,0.99,500,0.999,-0.0883,0.152,-0.48,-0.2978,67,b7c31c3182,3.0,hold3,0.0
