time,model,test_year,seed,episodes,ret,excess_bh,sharpe,sortino,mdd,trades
09-03 20:15,069500,fixed50,2021,0,0,0.0053,0.0018,0.105,0.176,-0.0749,
09-03 20:16,069500,dqn,2021,1,10,0.0294,0.0259,0.37,0.471,-0.055,40
09-03 20:17,069500,dqn,2021,2,10,-0.0631,-0.0666,-0.59,-0.795,-0.1004,44
09-03 20:17,069500,dqn,2021,3,10,0.0097,0.0062,0.147,0.222,-0.1528,49
09-03 20:17,069500,dqn,2021,4,10,0.0993,0.0958,1.153,1.608,-0.0746,70
09-03 20:17,069500,dqn,2021,5,10,0.0058,0.0023,0.114,0.131,-0.0811,34
09-03 20:17,069500,double,2021,1,10,-0.0427,-0.0462,-0.378,-0.468,-0.0868,48
09-03 20:18,069500,double,2021,2,10,-0.1055,-0.109,-1.049,-1.381,-0.1295,56
09-03 20:18,069500,double,2021,3,10,-0.0129,-0.0164,-0.099,-0.131,-0.0983,47
09-03 20:18,069500,double,2021,4,10,-0.0595,-0.063,-0.655,-0.847,-0.0973,60
09-03 20:18,069500,double,2021,5,10,-0.0182,-0.0217,-0.168,-0.243,-0.1314,58
09-03 20:18,069500,buy_hold,2022,0,0,-0.2432,0.0,-1.415,-2.385,-0.2794,
09-03 20:18,069500,ma_cross,2022,0,0,-0.1502,0.093,-1.954,-1.562,-0.1502,3.0
09-03 20:18,069500,cash,2022,0,0,0.0,0.2432,0.0,0.0,0.0,0.0
09-03 20:18,069500,fixed50,2022,0,0,-0.1263,0.1169,-1.415,-2.385,-0.1485,
09-03 20:18,069500,dqn,2022,1,10,-0.0269,0.2163,-0.203,-0.262,-0.128,50
09-03 20:19,069500,dqn,2022,2,10,-0.1056,0.1376,-0.661,-1.064,-0.1803,33
09-03 20:19,069500,dqn,2022,3,10,-0.1964,0.0467,-1.7,-2.124,-0.2174,51
09-03 20:19,069500,dqn,2022,4,10,0.0047,0.2479,0.105,0.133,-0.0693,43
09-03 20:20,069500,dqn,2022,5,10,-0.1422,0.1009,-1.215,-1.754,-0.1762,63
09-03 20:20,069500,double,2022,1,10,-0.2382,0.005,-2.064,-2.727,-0.2482,69
09-03 20:21,069500,double,2022,2,10,-0.1185,0.1247,-1.218,-1.362,-0.126,49
09-03 20:21,069500,double,2022,3,10,-0.1565,0.0866,-2.083,-2.004,-0.1723,49
09-03 20:21,069500,double,2022,4,10,-0.0302,0.213,-0.208,-0.307,-0.1322,60
09-03 20:22,069500,double,2022,5,10,0.0326,0.2758,0.329,0.421,-0.1493,52
09-03 20:22,069500,buy_hold,2023,0,0,0.2554,0.0,1.58,2.625,-0.126,
09-03 20:22,069500,ma_cross,2023,0,0,0.0578,-0.1976,0.732,0.92,-0.0813,3.0
09-03 20:22,069500,cash,2023,0,0,0.0,-0.2554,0.0,0.0,0.0,0.0
09-03 20:22,069500,fixed50,2023,0,0,0.124,-0.1314,1.58,2.625,-0.0645,
09-03 20:22,069500,dqn,2023,1,10,-0.1256,-0.381,-1.187,-1.641,-0.1836,84
09-03 20:22,069500,dqn,2023,2,10,0.1666,-0.0889,1.448,2.63,-0.0627,61
09-03 20:23,069500,dqn,2023,3,10,-0.1999,-0.4553,-2.446,-2.955,-0.2417,67
09-03 20:24,069500,dqn,2023,4,10,-0.067,-0.3224,-0.834,-1.017,-0.1484,60
09-03 20:24,069500,dqn,2023,5,10,-0.0397,-0.2951,-0.31,-0.468,-0.1294,65
09-03 20:24,069500,double,2023,1,10,0.0549,-0.2005,0.523,0.824,-0.0933,67
